symbol,secID,ticker,exchangeCD,secShortName,listDate
sz000565,000565.XSHE,000565,XSHE,渝三峡A,1994-04-08
sz000566,000566.XSHE,000566,XSHE,海南海药,1994-05-25
sz000567,000567.XSHE,000567,XSHE,海德股份,1994-05-25
sz000568,000568.XSHE,000568,XSHE,泸州老窖,1994-05-09
sz000570,000570.XSHE,000570,XSHE,苏常柴A,1994-07-01
sz000571,000571.XSHE,000571,XSHE,新大洲A,1994-05-25
sz000572,000572.XSHE,000572,XSHE,海马汽车,1994-08-08
sz000573,000573.XSHE,000573,XSHE,粤宏远A,1994-08-15
sz000576,000576.XSHE,000576,XSHE,甘化科工,1994-09-07
sz000581,000581.XSHE,000581,XSHE,威孚高科,1998-09-24
sz000582,000582.XSHE,000582,XSHE,北部湾港,1995-11-02
sz000586,000586.XSHE,000586,XSHE,汇源通信,1995-12-20
sz000589,000589.XSHE,000589,XSHE,贵州轮胎,1996-03-08
sz000590,000590.XSHE,000590,XSHE,古汉医药,1996-01-19
sz000591,000591.XSHE,000591,XSHE,太阳能,1996-02-08
sz000592,000592.XSHE,000592,XSHE,平潭发展,1996-03-27
sz000593,000593.XSHE,000593,XSHE,德龙汇能,1996-03-12
sz000595,000595.XSHE,000595,XSHE,*ST宝实,1996-04-19
sz000596,000596.XSHE,000596,XSHE,古井贡酒,1996-09-27
sz000597,000597.XSHE,000597,XSHE,东北制药,1996-05-23
sz000598,000598.XSHE,000598,XSHE,兴蓉环境,1996-05-29
sz000599,000599.XSHE,000599,XSHE,青岛双星,1996-04-30
sz000600,000600.XSHE,000600,XSHE,建投能源,1996-06-06
sz000601,000601.XSHE,000601,XSHE,韶能股份,1996-08-30
sz000603,000603.XSHE,000603,XSHE,盛达资源,1996-08-23
sz000605,000605.XSHE,000605,XSHE,渤海股份,1996-09-13
sz000607,000607.XSHE,000607,XSHE,华媒控股,1996-08-30
sz000608,000608.XSHE,000608,XSHE,*ST阳光,1996-09-19
sz000609,000609.XSHE,000609,XSHE,ST中迪,1996-10-10
sz000610,000610.XSHE,000610,XSHE,西安旅游,1996-09-26
sz000612,000612.XSHE,000612,XSHE,焦作万方,1996-09-26
sz000615,000615.XSHE,000615,XSHE,*ST美谷,1996-10-16
sz000617,000617.XSHE,000617,XSHE,中油资本,1996-10-22
sz000619,000619.XSHE,000619,XSHE,海螺新材,1996-10-23
sz000620,000620.XSHE,000620,XSHE,盈新发展,1996-10-29
sz000623,000623.XSHE,000623,XSHE,吉林敖东,1996-10-28
sz000625,000625.XSHE,000625,XSHE,长安汽车,1997-06-10
sz000626,000626.XSHE,000626,XSHE,远大控股,1996-11-28
sz000628,000628.XSHE,000628,XSHE,高新发展,1996-11-18
sz000629,000629.XSHE,000629,XSHE,钒钛股份,1996-11-15
sz000630,000630.XSHE,000630,XSHE,铜陵有色,1996-11-20
sz000631,000631.XSHE,000631,XSHE,顺发恒能,1996-11-22
sz000632,000632.XSHE,000632,XSHE,三木集团,1996-11-21
sz000633,000633.XSHE,000633,XSHE,合金投资,1996-11-12
sz000635,000635.XSHE,000635,XSHE,英力特,1996-11-20
sz000636,000636.XSHE,000636,XSHE,风华高科,1996-11-29
sz000637,000637.XSHE,000637,XSHE,茂化实华,1996-11-14
sz000638,000638.XSHE,000638,XSHE,*ST万方,1996-11-26
sz000639,000639.XSHE,000639,XSHE,西王食品,1996-11-26
sz000650,000650.XSHE,000650,XSHE,仁和药业,1996-12-10
sz000651,000651.XSHE,000651,XSHE,格力电器,1996-11-18
sz000652,000652.XSHE,000652,XSHE,泰达股份,1996-11-28
sz000655,000655.XSHE,000655,XSHE,金岭矿业,1996-11-28
sz000656,000656.XSHE,000656,XSHE,*ST金科,1996-11-28
sz000657,000657.XSHE,000657,XSHE,中钨高新,1996-12-05
sz000659,000659.XSHE,000659,XSHE,珠海中富,1996-12-03
sz000661,000661.XSHE,000661,XSHE,长春高新,1996-12-18
sz000663,000663.XSHE,000663,XSHE,永安林业,1996-12-06
sz000665,000665.XSHE,000665,XSHE,湖北广电,1996-12-10
sz000668,000668.XSHE,000668,XSHE,*ST荣控,1996-12-10
sz000669,000669.XSHE,000669,XSHE,ST金鸿,1996-12-10
sz000670,000670.XSHE,000670,XSHE,盈方微,1996-12-17
sz000672,000672.XSHE,000672,XSHE,上峰水泥,1996-12-18
sz000676,000676.XSHE,000676,XSHE,智度股份,1996-12-24
sz000677,000677.XSHE,000677,XSHE,恒天海龙,1996-12-26
sz000678,000678.XSHE,000678,XSHE,襄阳轴承,1997-01-06
sz000679,000679.XSHE,000679,XSHE,大连友谊,1997-01-24
sz000680,000680.XSHE,000680,XSHE,山推股份,1997-01-22
sz000681,000681.XSHE,000681,XSHE,视觉中国,1997-01-21
