secID,ticker,tradeDate,marketValue,negMarketValue,secShortName,exchangeCD
300197.XSHE,300197,2026-03-26,5307883599.0,5307749349.0,节能铁汉,XSHE
002542.XSHE,002542,2026-03-26,5309983392.0,5170787622.0,中化岩土,XSHE
300603.XSHE,300603,2026-03-26,5312643426.0,4274033616.0,立昂技术,XSHE
000678.XSHE,000678,2026-03-26,5313112408.0,5313112408.0,襄阳轴承,XSHE
301235.XSHE,301235,2026-03-26,5314475092.82,3587059894.8,华康洁净,XSHE
600168.XSHG,600168,2026-03-26,5314677160.0,5314677160.0,武汉控股,XSHG
300233.XSHE,300233,2026-03-26,5316663210.0,5148104555.0,金城医药,XSHE
600609.XSHG,600609,2026-03-26,5322599088.0,5322599088.0,金杯汽车,XSHG
688733.XSHG,688733,2026-03-26,5324009080.0,5324009080.0,壹石通,XSHG
301182.XSHE,301182,2026-03-26,5326728303.0,5326728303.0,凯旺科技,XSHE
603636.XSHG,603636,2026-03-26,5327709390.0,5327709390.0,南威软件,XSHG
300758.XSHE,300758,2026-03-26,5328193260.0,4802554365.0,七彩化学,XSHE
002724.XSHE,002724,2026-03-26,5331051180.0,3923412316.0,海洋王,XSHE
301213.XSHE,301213,2026-03-26,5331200000.0,3446021040.0,观想科技,XSHE
002117.XSHE,002117,2026-03-26,5331479780.0,5329786846.0,东港股份,XSHE
605268.XSHG,605268,2026-03-26,5333314875.0,5263885375.0,王力安防,XSHG
300755.XSHE,300755,2026-03-26,5335019520.0,5330507520.0,华致酒行,XSHE
300767.XSHE,300767,2026-03-26,5335179210.0,4632314520.0,震安科技,XSHE
603611.XSHG,603611,2026-03-26,5337488576.0,5337488576.0,诺力股份,XSHG
603931.XSHG,603931,2026-03-26,5338187200.0,5338187200.0,格林达,XSHG
002586.XSHE,002586,2026-03-26,5343524679.0,5078709060.0,ST围海,XSHE
301387.XSHE,301387,2026-03-26,5344832304.0,2137202901.0,光大同创,XSHE
002886.XSHE,002886,2026-03-26,5345665116.0,4246378242.0,沃特股份,XSHE
